sub_characteristic,characteristic,gap_value
accuracy,utility,1
effectiveness,utility,0
responsiveness,utility,0
usability,utility,0
cost_effectiveness,economy,0
efficiency,economy,0
availability,robustness,0
resilience,robustness,0
adaptability,robustness,0
scalability,robustness,0
maintainability,modifiability,1
modularity,modifiability,1
testability,modifiability,0
repeatability,productionizability,0
operability,productionizability,0
monitoring,productionizability,1
discoverability,comprehensibility,0
traceability,comprehensibility,1
understandability,comprehensibility,0
explainability,responsibility,0
fairness,responsibility,0
ownership,responsibility,0
standards_compliance,responsibility,0
vulnerability,responsibility,0
readability,comprehensibility,2
