sub_characteristic,characteristic,gap_value,url
accuracy,utility,0,https://gitlab.booking.com/datascience/ml-quality-model/-/blob/master/docs/subcharacteristics.md#accuracy
effectiveness,utility,0,https://gitlab.booking.com/datascience/ml-quality-model/-/blob/master/docs/subcharacteristics.md#effectiveness
responsiveness,utility,0,https://gitlab.booking.com/datascience/ml-quality-model/-/blob/master/docs/subcharacteristics.md#responsiveness
usability,utility,0,https://gitlab.booking.com/datascience/ml-quality-model/-/blob/master/docs/subcharacteristics.md#usability
cost_effectiveness,economy,0,https://gitlab.booking.com/datascience/ml-quality-model/-/blob/master/docs/subcharacteristics.md#cost-effectiveness
efficiency,economy,0,https://gitlab.booking.com/datascience/ml-quality-model/-/blob/master/docs/subcharacteristics.md#efficiency
availability,robustness,0,https://gitlab.booking.com/datascience/ml-quality-model/-/blob/master/docs/subcharacteristics.md#availability
resilience,robustness,1,https://gitlab.booking.com/datascience/ml-quality-model/-/blob/master/docs/subcharacteristics.md#resilience
adaptability,robustness,0,https://gitlab.booking.com/datascience/ml-quality-model/-/blob/master/docs/subcharacteristics.md#adaptability
scalability,robustness,0,https://gitlab.booking.com/datascience/ml-quality-model/-/blob/master/docs/subcharacteristics.md#scalability
maintainability,modifiability,0,https://gitlab.booking.com/datascience/ml-quality-model/-/blob/master/docs/subcharacteristics.md#maintainability
modularity,modifiability,0,https://gitlab.booking.com/datascience/ml-quality-model/-/blob/master/docs/subcharacteristics.md#modularity
testability,modifiability,1,https://gitlab.booking.com/datascience/ml-quality-model/-/blob/master/docs/subcharacteristics.md#testability
repeatability,productionizability,0,https://gitlab.booking.com/datascience/ml-quality-model/-/blob/master/docs/subcharacteristics.md#repeatability
operability,productionizability,0,https://gitlab.booking.com/datascience/ml-quality-model/-/blob/master/docs/subcharacteristics.md#operability
monitoring,productionizability,0,https://gitlab.booking.com/datascience/ml-quality-model/-/blob/master/docs/subcharacteristics.md#monitoring
discoverability,comprehensibility,0,https://gitlab.booking.com/datascience/ml-quality-model/-/blob/master/docs/subcharacteristics.md#discoverability
traceability,comprehensibility,0,https://gitlab.booking.com/datascience/ml-quality-model/-/blob/master/docs/subcharacteristics.md#traceability
understandability,comprehensibility,2,https://gitlab.booking.com/datascience/ml-quality-model/-/blob/master/docs/subcharacteristics.md#understandability
explainability,responsibility,0,https://gitlab.booking.com/datascience/ml-quality-model/-/blob/master/docs/subcharacteristics.md#explainability
fairness,responsibility,0,https://gitlab.booking.com/datascience/ml-quality-model/-/blob/master/docs/subcharacteristics.md#fairness
ownership,responsibility,0,https://gitlab.booking.com/datascience/ml-quality-model/-/blob/master/docs/subcharacteristics.md#ownership
standards_compliance,responsibility,0,https://gitlab.booking.com/datascience/ml-quality-model/-/blob/master/docs/subcharacteristics.md#standards-compliance
vulnerability,responsibility,0,https://gitlab.booking.com/datascience/ml-quality-model/-/blob/master/docs/subcharacteristics.md#vulnerability
readability,comprehensibility,0,https://gitlab.booking.com/datascience/ml-quality-model/-/blob/master/docs/subcharacteristics.md#readability
