characteristic,sub_characteristic,level_1,level_2,level_3,level_4,level_5
utility,accuracy,1,1,0,0,0
utility,effectiveness,2,2,1,1,0
utility,responsiveness,0,0,0,0,0
utility,reusability,2,2,2,0,0
economy,cost_effectiveness,2,2,2,2,0
economy,efficiency,2,2,2,1,0
robustness,availability,0,0,0,0,0
robustness,resilience,2,2,1,1,0
robustness,adaptability,2,2,1,0,0
robustness,scalability,2,2,2,2,0
modifiability,extensibility,2,2,2,0,0
modifiability,maintainability,2,1,1,1,0
modifiability,modularity,2,1,1,1,0
modifiability,testability,2,1,1,1,0
productionizability,repeatability,2,2,1,0,0
productionizability,operability,1,1,0,0,0
productionizability,monitoring,2,2,1,1,0
comprehensibility,discoverability,2,2,0,0,0
comprehensibility,readability,2,2,1,1,0
comprehensibility,traceability,2,2,1,0,0
comprehensibility,understandability,1,1,0,0,0
comprehensibility,usability,2,2,0,0,0
comprehensibility,debuggability,2,1,1,1,0
responsibility,explainability,2,2,2,0,0
responsibility,fairness,2,2,2,2,0
responsibility,ownership,0,0,0,0,0
responsibility,standards_compliance,0,0,0,0,0
responsibility,vulnerability,2,2,2,2,0
